symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00013000,-0.187,0.06965610,0.06970000,0.06957000,0.00160000,0.06957000,44.67780000,0.06958000,31.37030000,0.06970000,0.06999000,0.06936000,14879.65050000,1036.45847727,1686173256133,1686259656133,419278100,419308199,30100
LTCBTC,-0.00004100,-1.216,0.00334547,0.00337000,0.00333000,3.87300000,0.00332900,29.64300000,0.00333000,44.09600000,0.00337100,0.00338500,0.00330500,56713.30800000,189.73290746,1686173242177,1686259642177,91494737,91508528,13792
BNBBTC,0.00008300,0.843,0.00992336,0.00984200,0.00992400,0.01400000,0.00992300,11.20300000,0.00992400,6.19900000,0.00984100,0.01008500,0.00980000,85962.66700000,853.03815285,1686173255020,1686259655020,222857836,222932375,74540
NEOBTC,0.00000130,0.382,0.00033981,0.00034020,0.00034130,9.53000000,0.00034110,21.58000000,0.00034130,30.05000000,0.00034000,0.00034300,0.00033420,49830.19000000,16.93276848,1686173250901,1686259650901,45036413,45039922,3510
QTUMETH,-0.00001700,-1.314,0.00128276,0.00128500,0.00127700,7.00000000,0.00127600,42.30000000,0.00128000,284.40000000,0.00129400,0.00129400,0.00127000,474.10000000,0.60815710,1686173150795,1686259550795,5389164,5389200,37
EOSETH,0.00001150,2.459,0.00048192,0.00046650,0.00047920,144.60000000,0.00047940,243.10000000,0.00048030,845.90000000,0.00046770,0.00049160,0.00046700,38350.30000000,18.48170430,1686173254310,1686259654310,23471262,23471514,253
SNTETH,-0.00000009,-0.731,0.00001234,0.00001227,0.00001223,5865.00000000,0.00001223,8796.00000000,0.00001225,8785.00000000,0.00001232,0.00001250,0.00001202,1520017.00000000,18.75663227,1686172983893,1686259383893,3873996,3874241,246
BNTETH,0.00000450,2.147,0.00020986,0.00020930,0.00021410,29.00000000,0.00021320,380.00000000,0.00021450,80.80000000,0.00020960,0.00021410,0.00020840,54028.20000000,11.33812533,1686173253448,1686259653448,2202252,2202401,150
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652395531,1681738795531,-1,-1,0
GASBTC,-0.00000160,-1.636,0.00009720,0.00009790,0.00009620,124.30000000,0.00009610,178.40000000,0.00009630,635.20000000,0.00009780,0.00009930,0.00009500,104510.80000000,10.15843617,1686173223120,1686259623120,20618281,20620566,2286
BNBETH,0.00140000,0.991,0.14224718,0.14110000,0.14260000,4.76800000,0.14260000,13.04000000,0.14270000,8.31100000,0.14120000,0.14520000,0.14050000,24627.56000000,3503.20092540,1686173251199,1686259651199,55484869,55499648,14780
BTCUSDT,143.32000000,0.542,26457.27413754,26455.91000000,26599.22000000,1.13480000,26599.22000000,2.17590000,26599.23000000,8.77098000,26455.90000000,26810.00000000,26125.01000000,33775.96423000,893619944.89294290,1686173257229,1686259657229,3137449285,3138363422,914138
ETHUSDT,7.03000000,0.381,1841.66327723,1843.99000000,1851.03000000,0.30700000,1851.03000000,86.62760000,1851.04000000,56.71220000,1844.00000000,1861.28000000,1821.18000000,219894.24900000,404971163.25838500,1686173257152,1686259657152,1161660202,1162039859,379658
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652395531,1681738795531,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652395531,1681738795531,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652395531,1681738795531,-1,-1,0
